zip,donations,total,population,donations_pct
21660,722,14024.06,4361,165.55835817473059
21661,1339,25956.929999999997,2695,496.84601113172545
21662,821,71666.80999999998,369,2224.932249322493
21663,3198,165478.48000000045,3715,860.8344549125169
21664,37,803,497,74.4466800804829
21665,141,8093.42,194,726.8041237113401
21666,3570,104492.80000000018,13463,265.17120998291614
21667,445,7539.389999999999,255,1745.0980392156862
21668,148,2688.7899999999995,1763,83.94781622234828
21669,146,4473.520000000004,114,1280.701754385965
21671,397,13720.66,808,491.33663366336634
21672,6,92,149,40.26845637583892
21673,437,18756.35,3019,144.7499171911229
21676,78,9237.36,367,212.53405994550408
21677,28,1214,579,48.359240069084635
21678,1059,22807.97999999999,1549,683.6668818592641
21679,213,5971.209999999999,272,783.0882352941177
21701,24907,631639.1800000038,38390,648.7887470695493
21702,17174,430403.05999999936,41729,411.56030578254934
21703,8726,203219.95000000024,37048,235.53228244439646
21704,5672,213888.01000000007,16478,344.21653113241894
21705,449,9141.1,4,112250
21710,1509,45716.58000000003,4847,311.32659376934186
21711,30,741,1139,26.33889376646181
21713,1829,40567.68999999998,9979,183.28489828640144
21714,426,15300.23,179,2379.8882681564246
21716,2201,47591.569999999985,5453,403.6310287914909
21717,97,3016.26,126,769.8412698412699
21718,165,4618.8,167,988.0239520958085
21719,115,1636.0099999999998,1074,107.07635009310987
21722,248,4822.030000000004,6389,38.81671623102207
21723,214,7010.54,648,330.24691358024694
21727,606,16539.529999999995,6965,87.00646087580762
21733,95,2380.62,988,96.15384615384616
21734,137,2700,840,163.0952380952381
21737,1141,42184.98,2476,460.8239095315024
21738,2133,91235.83999999994,3861,552.4475524475524
21740,9084,156266.82999999897,60922,149.10869636584485
21742,9377,180980.25000000055,33425,280.5385190725505
21750,1588,25647.73999999999,3787,419.32928439397944
21754,3459,99558.51999999968,7117,486.01939019249687
21755,2271,65008.77999999997,5745,395.30026109660577
21756,706,23079.649999999976,2912,242.44505494505495
21757,121,3157.34,2753,43.95205230657464
21758,1923,35589.54000000006,4616,416.59445407279026
21762,127,4213.839999999999,131,969.4656488549617
21766,28,1177.77,660,42.42424242424243
21767,79,3614.53,694,113.8328530259366
21769,3776,108657.45999999992,11868,318.16649814627567
21770,1985,51007.11,6145,323.026851098454
21771,8933,209328.0900000004,31366,284.7988267550851
21773,1692,26795.68000000001,5404,313.10140636565507
21774,5176,144050.66000000012,13618,380.0851813775885
21776,1182,21786.81,6137,192.60224865569498
21777,720,13418.1,2067,348.3309143686502
21778,187,2955.6699999999983,930,201.07526881720432
21779,475,6884.26,1712,277.4532710280374
21780,227,6613.8499999999995,1864,121.78111587982833
21781,2,110,128,15.625
21782,1239,23007.480000000003,4348,284.95860165593376
21783,1072,22073.15,9637,111.23793711736018
21784,9655,257843.1300000003,36484,264.63655300953843
21787,944,30285.629999999997,10194,92.60349225034334
21788,2817,109285.4999999998,12241,230.12825749530268
21790,5,349.24,104,48.07692307692308
21791,1283,18969.599999999995,5080,252.55905511811022
21793,2311,63179.49999999996,10477,220.57840985014795
21794,648,27815.850000000013,2191,295.7553628480146
21795,1602,25785.01000000001,9150,175.08196721311475
21797,3224,169015.33999999994,8558,376.72353353587283
21798,331,18457.95,2412,137.23051409618574
21801,4484,130242.52999999998,30122,148.86129739061153
21802,194,2387.96,98,1979.5918367346937
21804,7964,177007.2200000002,39842,199.88956377691883
21810,3,90,656,4.573170731707317
21811,9781,276675.0200000005,24356,401.58482509443263
21813,1012,18157.769999999997,2636,383.91502276176027
21814,274,5105.589999999998,274,1000
21817,312,6336.919999999993,4247,73.4636213797975
21821,155,2020.34,834,185.85131894484414
21822,632,12221.479999999998,1527,413.88343156516044
21824,16,166,181,88.39779005524862
21826,717,10358.839999999998,5317,134.85047959375586
21829,17,435,397,42.821158690176325
21830,383,9341.89,4790,79.95824634655533
